1	Es	_	es	_	PPER	_	case=nom|number=sg|gender=neut|person=3	-1	2	_	SB	_	_
2	war	_	sein	_	VAFIN	_	number=sg|person=3|tense=past|mood=ind	-1	0	_	--	_	_
3	einmal	_	einmal	_	ADV	_	_	-1	2	_	MO	_	_
4	ein	_	ein	_	ART	_	case=nom|number=sg|gender=masc	-1	5	_	NK	_	_
5	Elefant	_	elefant	_	NN	_	case=nom|number=sg|gender=masc	-1	2	_	PD	_	_
6	,	_	--	_	$,	_	_	-1	5	_	--	_	_
7	der	_	der	_	PRELS	_	case=nom|number=sg|gender=masc	-1	8	_	SB	_	_
8	wurde	_	werden	_	VAFIN	_	number=sg|person=3|tense=past|mood=ind	-1	5	_	RC	_	_
9	jeden	_	jeder	_	PIAT	_	case=acc|number=sg|gender=masc	-1	10	_	NK	_	_
10	Tag	_	tag	_	NN	_	case=acc|number=sg|gender=masc	-1	16	_	MO	_	_
11	über	_	über	_	APPR	_	_	-1	10	_	MNR	_	_
12	die	_	der	_	ART	_	case=acc|number=sg|gender=fem	-1	13	_	NK	_	_
13	Straße	_	straße	_	NN	_	case=acc|number=sg|gender=fem	-1	11	_	NK	_	_
14	zum	_	zu	_	APPRART	_	case=dat|number=sg|gender=neut	-1	16	_	MO	_	_
15	Brunnen	_	brunnen	_	NN	_	case=dat|number=sg|gender=neut	-1	14	_	NK	_	_
16	geführt	_	führen	_	VVPP	_	_	-1	8	_	OC	_	_
17	.	_	--	_	$.	_	_	-1	16	_	--	_	_

1	Dabei	_	dabei	_	PROAV	_	_	-1	2	_	MO	_	_
2	kam	_	kommen	_	VVFIN	_	number=sg|person=3|tense=past|mood=ind	-1	0	_	--	_	_
3	er	_	er	_	PPER	_	case=nom|number=sg|gender=masc|person=3	-1	2	_	SB	_	_
4	an	_	an	_	APPR	_	_	-1	2	_	MO	_	_
5	der	_	der	_	ART	_	case=dat|number=sg|gender=fem	-1	6	_	NK	_	_
6	Wohnung	_	wohnung	_	NN	_	case=dat|number=sg|gender=fem	-1	4	_	NK	_	_
7	eines	_	ein	_	ART	_	case=gen|number=sg|gender=neut	-1	8	_	NK	_	_
8	Schneiders	_	schneider	_	NN	_	case=gen|number=sg|gender=neut	-1	6	_	AG	_	_
9	vorbei	_	vorbei	_	PTKVZ	_	_	-1	2	_	SVP	_	_
10	,	_	--	_	$,	_	_	-1	9	_	--	_	_
11	der	_	der	_	PRELS	_	case=nom|number=sg|gender=masc	-1	16	_	SB	_	_
12	meist	_	meist	_	ADV	_	_	-1	16	_	MO	_	_
13	am	_	an	_	APPRART	_	case=dat|number=sg|gender=masc	-1	16	_	MO	_	_
14	offenen	_	offen	_	ADJA	_	case=dat|number=sg|gender=masc|degree=pos	-1	15	_	NK	_	_
15	Fenster	_	fenster	_	NN	_	case=dat|number=sg|gender=masc	-1	13	_	NK	_	_
